card_id,update_month,name_zh,name_en,category,health_evidence,health_evidence_plain,skin_evidence,skin_evidence_plain,one_sentence,common_misunderstanding,attention,professional_boundary,commercial_overclaim_risk,sample_question_1,sample_question_2,sample_question_3,not_for,source_path,retraction_publications_20y,retraction_count_20y,retractions_per_1000_publications,retraction_note,last_checked
S001,2026-05,维生素 D,Vitamin D,vitamin,B：中等,有不少支持,D：很早期,很早期,缺乏或高风险人群的骨骼、跌倒和部分健康结局管理更有意义。,不支持健康人群普遍补充即可延寿或美容逆龄。,过量可导致高钙血症；检测和补充策略宜结合医生建议。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,维生素 D 主要研究什么？,维生素 D 常见误解是什么？,维生素 D 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,25261,48,1.9,同一口径下总发表 25261 篇；每 1000 篇约 1.90 篇撤稿。,2026-05-18
S002,2026-05,维生素 C,Vitamin C,vitamin,C：有限,有线索,C：有限,有线索,主要看缺乏风险、饮食不足或外用皮肤抗氧化方向的证据线索。,不支持高剂量口服维C延寿或替代防晒。,高剂量可能增加胃肠不适和结石风险人群负担。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,中,维生素 C 主要研究什么？,维生素 C 常见误解是什么？,维生素 C 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,2972,10,3.36,同一口径下总发表 2972 篇；每 1000 篇约 3.36 篇撤稿。,2026-05-18
S003,2026-05,Omega-3,Omega-3 Fatty Acids,fatty_acid,B：中等,有不少支持,C：有限,有线索,部分心血管、甘油三酯和炎症相关场景有证据基础。,不支持声称普通人补充即可延寿或全面抗炎抗老。,抗凝药、手术前和高剂量使用需医疗评估。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,Omega-3 主要研究什么？,Omega-3 常见误解是什么？,Omega-3 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,10045,17,1.69,同一口径下总发表 10045 篇；每 1000 篇约 1.69 篇撤稿。,2026-05-18
S004,2026-05,胶原蛋白/胶原肽,Collagen Peptides,protein,D：很早期,很早期,C：有限,有线索,主要看皮肤水分、弹性和皱纹等外观终点的证据线索。,不支持声称补胶原能直接变成年轻皮肤或延寿。,注意过敏、蛋白来源和基础肾病人群。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,高,胶原蛋白/胶原肽 主要研究什么？,胶原蛋白/胶原肽 常见误解是什么？,胶原蛋白/胶原肽 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,339,0,0.0,同一口径下总发表 339 篇；每 1000 篇约 0.00 篇撤稿。,2026-05-18
S005,2026-05,蛋白粉/必需氨基酸,Protein / Essential Amino Acids,protein,B：中等,有不少支持,D：很早期,很早期,主要看肌肉、衰弱和营养不足相关健康寿命终点。,不支持作为皮肤美容或延寿万能补剂。,肾病、肝病和特殊疾病人群需医生/营养师评估。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,蛋白粉/必需氨基酸 主要研究什么？,蛋白粉/必需氨基酸 常见误解是什么？,蛋白粉/必需氨基酸 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,441,0,0.0,同一口径下总发表 441 篇；每 1000 篇约 0.00 篇撤稿。,2026-05-18
S006,2026-05,肌酸,Creatine,sports_nutrition,B：中等,有不少支持,D：很早期,很早期,主要看力量、肌肉和老年功能相关证据线索。,不支持声称抗衰逆龄或皮肤美容明确有效。,肾病或多药人群需医疗评估。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,肌酸 主要研究什么？,肌酸 常见误解是什么？,肌酸 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,1602,0,0.0,同一口径下总发表 1602 篇；每 1000 篇约 0.00 篇撤稿。,2026-05-18
S007,2026-05,钙/镁,Calcium / Magnesium,mineral,B：中等,有不少支持,D：很早期,很早期,特定缺乏、骨骼或膳食不足场景可有意义。,不支持无差别补充来延寿或美容。,钙补充与肾结石、心血管风险讨论需个体化；镁也需注意肾功能。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,钙/镁 主要研究什么？,钙/镁 常见误解是什么？,钙/镁 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,16080,28,1.74,同一口径下总发表 16080 篇；每 1000 篇约 1.74 篇撤稿。,2026-05-18
S008,2026-05,锌,Zinc,mineral,C：有限,有线索,C：有限,有线索,缺乏或特定皮肤炎症场景可看作证据线索。,不支持长期高剂量用于抗老或提升免疫。,长期过量可影响铜代谢和胃肠耐受。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,锌 主要研究什么？,锌 常见误解是什么？,锌 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,10948,24,2.19,同一口径下总发表 10948 篇；每 1000 篇约 2.19 篇撤稿。,2026-05-18
S009,2026-05,辅酶 Q10,Coenzyme Q10,mitochondrial,C：有限,有线索,D：很早期,很早期,可看作线粒体、心血管和疲劳相关证据线索。,不支持声称明确延寿或皮肤逆龄。,与抗凝药和慢病用药需注意相互作用。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,高,辅酶 Q10 主要研究什么？,辅酶 Q10 常见误解是什么？,辅酶 Q10 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,1378,5,3.63,同一口径下总发表 1378 篇；每 1000 篇约 3.63 篇撤稿。,2026-05-18
S010,2026-05,褪黑素,Melatonin,sleep,B：中等,有不少支持,D：很早期,很早期,主要看睡眠节律相关场景的证据线索。,不支持把它作为长期抗衰或美容补剂。,嗜睡、药物相互作用、孕期和儿童需谨慎。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,褪黑素 主要研究什么？,褪黑素 常见误解是什么？,褪黑素 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,4095,30,7.33,同一口径下总发表 4095 篇；每 1000 篇约 7.33 篇撤稿。,2026-05-18
S011,2026-05,益生菌,Probiotics,microbiome,C：有限,有线索,C：有限,有线索,部分肠道、炎症和皮肤屏障/炎症场景有证据线索。,不支持单一益生菌适用于所有人抗衰或美容。,免疫抑制、重症或中心静脉置管人群需医疗评估。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,高,益生菌 主要研究什么？,益生菌 常见误解是什么？,益生菌 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,18089,43,2.38,同一口径下总发表 18089 篇；每 1000 篇约 2.38 篇撤稿。,2026-05-18
